No.,Name,Type,Zone,PF,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,src,ar,des,dep,lateness,Stoppage
18104,Jallianwalabagh Expr...,3,SER,2,0,0,0,0,1,0,1,LKO,3:05,TATA,3:15,0:41,0:10
15001,Rapti Ganga Express,3,NER,7,0,0,1,0,0,0,0,LKO,3:10,DDN,3:20,3:37,0:10
15005,Rapti Ganga Express,3,NER,7,0,0,0,0,1,0,1,LKO,3:10,DDN,3:20,0:12,0:10
22418,New Delhi - Varanasi...,2,NR,2,0,0,1,0,1,0,1,LKO,3:15,BSB,3:20,0:29,0:05
22420,Suhaildev SF Express...,2,NR,2,1,1,0,1,0,1,0,LKO,3:15,GCT,3:20,3:00,0:05
14854,Marudhar Express (vi...,3,NWR,1,1,0,1,0,0,1,0,LKO,3:25,BSB,3:35,3:28,0:10
14864,Marudhar Express (vi...,3,NWR,1,0,1,0,1,0,0,1,LKO,3:25,BSB,3:35,1:37,0:10
14866,Marudhar Express (Vi...,3,NWR,7,0,0,0,0,1,0,0,LKO,3:25,BSB,3:35,2:42,0:10
15279,Poorabiya Express (P...,3,ECR,4,0,1,0,0,0,1,0,LKO,3:30,ANVT,3:40,3:12,0:10
12523,New Jalpaiguri - New...,2,NFR,6,1,0,0,1,0,0,0,LKO,3:30,NDLS,3:35,3:33,0:05
19602,New Jalpaiguri - Uda...,3,NWR,6,0,0,1,0,0,0,0,LKO,3:30,UDZ,3:40,3:12,0:10
4923,Gorakhpur - Chandiga...,3,NR,2,0,0,0,0,0,0,1,LKO,3:30,CDG,3:40,3:03,0:10
14008,Sadbhavana Express (...,3,NR,3,0,0,0,1,0,1,0,LKO,3:35,RXL,3:45,0:05,0:10
14014,Sadbhavana Express,3,NR,3,1,0,1,0,0,0,0,LKO,3:35,SLN,3:45,1:05,0:10
14016,Sadbhavana Express (...,3,NR,6,0,1,0,0,0,0,1,LKO,3:35,RXL,3:45,1:33,0:10
4997,Varanasi - Bathinda ...,3,NR,6,0,0,1,0,0,0,0,LKO,3:40,BTI,3:50,1:14,0:10
14018,Sadbhavana Express (...,3,NR,3,0,0,0,0,1,0,0,LKO,3:45,RXL,3:55,3:23,0:10
4046,Anand Vihar Terminal...,3,NR,2,0,1,0,0,0,0,0,LKO,3:45,GKP,3:55,3:46,0:10
14206,Delhi - Faizabad Exp...,3,NR,2,1,1,1,1,1,1,1,LKO,4:00,FD,4:10,3:26,0:10
12554,Vaishali SF Express ...,2,ECR,3,1,1,1,1,1,1,1,LKO,4:10,BJU,4:15,0:31,0:05
64201,Lucknow - Kanpur MEM...*,4,NR,5,1,1,1,1,1,1,1,LKO,4:10,CNB,4:13,3:40,0:03
2411,Arunachal AC SF Spec...,2,NR,2,0,1,0,0,0,0,0,LKO,4:20,ANVT,4:25,2:44,0:05
22411,Naharlagun - New Del...,2,NR,5,0,0,0,0,1,0,0,LKO,4:20,NDLS,4:25,2:55,0:05
15705,Champaran Humsafar E...,2,NFR,2,0,0,1,0,0,1,0,LKO,4:20,DLI,4:25,2:50,0:05
4404,Anand Vihar Terminal...,3,NR,2,0,0,0,1,0,0,1,LKO,4:25,BJU,4:35,2:16,0:10
19270,Muzaffarpur - Porban...,3,WR,4,0,1,1,0,0,0,0,LKO,4:30,PBR,4:40,1:49,0:10
14208,Padmavat Express,3,NR,2,1,1,1,1,1,1,1,LKO,4:30,PBH,4:40,0:55,0:10
12211,Muzaffarpur - Anand ...,2,NR,4,0,0,0,0,0,0,1,LKO,4:30,ANVT,4:35,2:05,0:05
54232,Lucknow - Faizabad P...*,5,NR,8,1,1,1,1,1,1,1,LKO,4:40,FD,4:55,0:59,0:15
3427,Malda Town - Haridwa...,3,ER,2,0,0,1,0,0,0,0,LKO,4:45,HW,4:55,3:17,0:10
54254,Lucknow - Prayag Pas...*,5,NR,8,1,1,1,1,1,1,1,LKO,4:50,PRG,5:05,0:23,0:15
15715,Kishanganj - Ajmer G...,3,NFR,6,0,1,0,1,0,0,1,LKO,4:55,AII,5:05,0:41,0:10
12556,Gorakhdham SF Expres...,2,NER,4,1,1,1,1,1,1,1,LKO,4:55,GKP,5:00,3:34,0:05
11111,Sushasan Express,3,NCR,3,0,0,0,0,1,0,0,LKO,5:10,BLP,5:20,0:45,0:10
14115,Allahabad - Haridwar...,3,NCR,3,0,1,0,1,0,1,0,LKO,5:15,HW,5:25,0:36,0:10
24512,Nauchandi Link Expre...,3,NR,4,1,1,1,1,1,1,1,LKO,5:25,ALD,5:35,2:49,0:10
14512,Nauchandi Express,3,NR,5,1,1,1,1,1,1,1,LKO,5:25,ALD,5:35,1:51,0:10
15909,Avadh Assam Express ...,3,NFR,4,1,1,1,1,1,1,1,LKO,5:35,LGH,5:45,2:24,0:10
15716,Ajmer - Kishanganj G...,3,NFR,3,0,0,1,1,0,1,0,LKO,5:35,KNE,5:45,3:16,0:10
19269,Porbandar - Muzaffar...,3,WR,3,1,0,0,0,0,0,1,LKO,5:35,MFP,5:45,2:41,0:10
19321,Indore - Rajendranag...,3,WR,4,1,0,0,0,0,0,0,LKO,5:35,RJPB,5:45,0:34,0:10
12212,Anand Vihar Terminal...,2,NR,6,0,0,0,0,1,0,0,LKO,5:35,MFP,5:40,0:11,0:05
12183,Bhopal - Pratapgarh ...,2,WCR,5,0,1,0,1,0,0,1,LKO,5:45,PBH,5:50,0:56,0:05
19313,Indore - Rajendranag...,3,WR,2,0,0,0,0,1,0,0,LKO,5:45,RJPB,5:55,0:14,0:10
9307,Indore - Patna Speci...,3,WR,2,0,0,1,0,0,0,0,LKO,5:45,PNBE,5:55,2:43,0:10
19305,Indore - Guwahati We...,3,WR,1,0,0,0,0,0,1,0,LKO,5:45,KYQ,5:55,3:20,0:10
12174,Udyog Nagri Express,2,CR,5,0,0,1,0,1,0,0,LKO,5:50,LTT,5:55,0:48,0:05
14003,Malda Town - New Del...,3,NR,7,1,0,0,1,0,0,0,LKO,5:50,NDLS,6:00,2:40,0:10
13167,Kolkata - Agra Cantt...,3,ER,6,0,0,0,0,0,1,0,LKO,5:50,AGC,6:00,1:40,0:10
13429,Malda Town - Anand V...,3,ER,4,0,0,0,0,0,0,1,LKO,5:50,ANVT,6:00,3:43,0:10
12419,Gomti Express*,2,NR,1,1,1,1,1,1,1,1,LKO,6:00,NDLS,6:05,0:12,0:05
54282,Lucknow - Sultanpur ...*,5,NR,9,1,1,1,1,1,1,1,LKO,6:05,SLN,6:20,2:54,0:15
15933,Dibrugarh - Amritsar...,3,NFR,4,0,0,0,0,1,0,0,LKO,6:10,ASR,6:20,0:20,0:10
12203,Saharsa - Amritsar G...,2,NR,4,0,1,1,0,0,1,0,LKO,6:10,ASR,6:15,1:13,0:05
