No.,Name,Type,Zone,PF,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,src,ar,des,dep,lateness,Stoppage
55082,Gorakhpur - Narkatia...*,5,NER,2,1,1,1,1,1,1,1,GKP,17:25,NKE,17:40,3:22,0:15
15029,Gorakhpur - Pune Wee...*,3,NER,4,0,0,0,0,1,0,0,GKP,17:25,PUNE,17:35,3:12,0:10
12492,Mour Dhwaj Express,2,NR,5,0,0,0,0,0,0,1,GKP,17:45,BJU,17:50,0:51,0:05
15904,Chandigarh - Dibruga...,3,NFR,5,0,1,0,0,1,0,0,GKP,17:45,DBRG,17:55,3:39,0:10
75005,Gorakhpur - Subhagpu...*,2,NER,6,1,1,1,1,1,1,1,GKP,17:45,SUBR,17:50,3:21,0:05
4974,Firozpur Cantt - Dar...,3,NR,2,0,0,0,1,0,0,0,GKP,17:45,DBG,17:55,1:54,0:10
15532,Amritsar - Saharsa J...,3,ECR,5,0,0,1,0,0,0,0,GKP,17:45,SHC,17:55,3:38,0:10
4973,Darbhanga - Firozpur...,3,NR,2,0,0,0,0,1,0,0,GKP,17:50,FZR,18:00,3:49,0:10
13019,Bagh Express (PT),3,ER,4,1,1,1,1,1,1,1,GKP,18:00,KGM,18:10,3:59,0:10
55030,Gorakhpur - Narkatia...*,5,NER,2,1,1,1,1,1,1,1,GKP,18:05,NKE,18:20,1:38,0:15
55027,Gorakhpur Gonda Pass...*,5,NER,5,1,1,1,1,1,1,1,GKP,18:15,GD,18:30,0:57,0:15
55043,Gorakhpur Nautanwa P...*,5,NER,8,1,1,1,1,1,1,1,GKP,18:20,NTV,18:35,3:40,0:15
55012,Gorakhpur - Siwan Pa...*,5,NER,2,1,1,1,1,1,1,1,GKP,18:30,SV,18:45,3:15,0:15
12557,Sapt Kranti SF Expre...,2,ECR,3,1,1,1,1,1,1,1,GKP,18:40,ANVT,18:45,0:49,0:05
11016,Kushinagar Express (...*,3,CR,1,1,1,1,1,1,1,1,GKP,19:00,LTT,19:10,1:37,0:10
12571,Gorakhpur - Anand Vi...*,2,NER,9,1,0,0,0,0,0,0,GKP,19:00,ANVT,19:05,2:20,0:05
55076,Gorakhpur - Siwan Pa...*,5,NER,6,1,1,1,1,1,1,1,GKP,19:15,SV,19:30,1:02,0:15
14673,Shaheed Express (PT),3,NR,2,0,1,0,1,1,0,1,GKP,19:20,ASR,19:30,0:06,0:10
15903,Dibrugarh - Chandiga...,3,NFR,3,0,0,1,0,0,0,1,GKP,19:45,CDG,19:55,3:06,0:10
19710,Kamakhya - Jaipur Ka...,3,NWR,3,0,0,0,0,0,1,0,GKP,19:45,JP,19:55,1:57,0:10
