No.,Name,Type,Zone,PF,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,src,ar,des,dep,lateness,Stoppage
12192,Shridham SF Express ...,2,WCR,5,1,1,1,1,1,1,1,JHS,4:00,JBP,4:05,1:23,0:05
12590,Secunderabad - Gorak...,2,NER,4,0,0,0,0,0,0,1,JHS,4:18,SC,4:23,1:13,0:05
12592,Yesvantpur - Gorakhp...,2,NER,2,0,0,0,1,0,0,0,JHS,4:18,YPR,4:23,3:26,0:05
12512,Thiruvananthapuram -...,2,NER,2,0,0,1,0,1,1,0,JHS,4:18,TVC,4:23,0:17,0:05
12522,Ernakulam - Barauni ...,2,ECR,5,1,0,0,0,0,0,0,JHS,4:18,ERS,4:23,2:01,0:05
12214,Delhi Sarai Rohilla ...,1,SWR,2,0,0,1,0,0,0,0,JHS,4:20,DEE,4:23,2:02,0:03
19314,Rajendranagar Termin...,3,WR,1,0,0,0,0,0,0,1,JHS,4:25,RJPB,4:35,1:01,0:10
9308,Patna - Indore Summe...,3,WR,2,0,0,0,0,1,0,0,JHS,4:25,PNBE,4:35,3:28,0:10
12593,Lucknow Jn - Bhopal ...,2,NER,3,1,0,0,0,0,0,0,JHS,4:25,LJN,4:30,0:27,0:05
15029,Gorakhpur - Pune Wee...,3,NER,1,0,0,0,0,0,1,0,JHS,4:25,GKP,4:35,3:54,0:10
19322,Rajendra Nagar Termi...,3,WR,2,0,0,1,0,0,0,0,JHS,4:37,RJPB,4:47,3:43,0:10
12485,Hazur Sahib Nanded -...,2,NWR,5,0,1,1,0,0,1,0,JHS,4:40,NED,4:45,0:28,0:05
12421,Hazur Sahib Nanded -...,2,NR,2,0,0,0,0,1,0,0,JHS,4:40,NED,4:45,3:11,0:05
22457,Hazur Sahib Nanded -...,2,NR,5,1,0,0,0,0,0,0,JHS,4:40,NED,4:45,0:57,0:05
11058,Amritsar - Mumbai CS...,3,CR,2,1,1,1,1,1,1,1,JHS,4:50,ASR,5:00,3:27,0:10
12715,Sachkhand Express (P...,2,SCR,4,1,1,1,1,1,1,1,JHS,4:55,NED,5:00,0:59,0:05
12542,Mumbai LTT - Gorakhp...,2,NER,3,1,1,1,1,1,1,1,JHS,5:15,LTT,5:20,0:07,0:05
12722,Dakshin SF Express (...,2,SCR,3,1,1,1,1,1,1,1,JHS,5:20,NZM,5:25,3:12,0:05
12722-Slip,Dakshin Link SF Expr...,2,ECoR,3,1,1,1,1,1,1,1,JHS,5:20,NZM,5:25,1:57,0:05
12611,Chennai Central - Ha...,2,SR,4,1,0,0,0,0,0,0,JHS,5:26,MAS,5:31,1:14,0:05
12433,Chennai Central - Ha...,1,NR,4,0,1,0,0,0,0,1,JHS,5:26,MAS,5:29,1:02,0:03
